0,0,0,0,0,load
0,1,1,1,0,load
0,2,2,2,0,load
0,3,3,3,0,load
0,4,4,4,0,load
0,5,5,0,0,load
0,6,6,1,0,load
0,7,7,2,0,load
0,8,8,3,0,load
0,9,9,4,0,load
0,10,10,0,0,load
0,11,11,1,0,load
0,12,12,2,0,load
0,13,13,3,0,load
0,14,14,4,0,load
0,15,15,0,0,load
0,16,16,1,0,load
0,17,17,2,0,load
0,18,18,3,0,load
0,19,19,4,0,load
0,0,0,0,0,blocked
0,1,1,1,0,blocked
0,2,2,2,0,blocked
0,3,3,3,0,blocked
0,4,4,4,0,blocked
0,5,5,0,0,blocked
0,6,6,1,0,blocked
0,7,7,2,0,blocked
0,8,8,3,0,blocked
0,9,9,4,0,blocked
0,10,10,0,0,blocked
0,11,11,1,0,blocked
0,12,12,2,0,blocked
0,13,13,3,0,blocked
0,14,14,4,0,blocked
0,15,15,0,0,blocked
0,16,16,1,0,blocked
0,17,17,2,0,blocked
0,18,18,3,0,blocked
0,19,19,4,0,blocked
101,0,0,0,0,unblocked
229,0,0,0,128,blocked
329,0,0,0,128,unblocked
457,0,0,0,256,blocked
557,0,0,0,256,unblocked
685,0,0,0,384,blocked
785,0,0,0,384,unblocked
901,0,0,0,500,branch_from
901,0,0,0,1402,branch_to
902,0,0,0,1402,blocked
1002,0,0,0,1402,unblocked
1008,0,0,0,1408,blocked
1108,0,0,0,1408,unblocked
1233,0,0,0,1533,branch_from
1233,0,0,0,0,branch_to
1746,0,0,0,512,blocked
1846,0,0,0,512,unblocked
1974,0,0,0,640,blocked
2074,0,0,0,640,unblocked
2202,0,0,0,768,blocked
2302,0,0,0,768,unblocked
2430,0,0,0,896,blocked
2530,0,0,0,896,unblocked
2658,0,0,0,1024,blocked
2758,0,0,0,1024,unblocked
2886,0,0,0,1152,blocked
2986,0,0,0,1152,unblocked
3235,0,0,0,1401,branch_from
3235,0,0,0,1533,branch_to
3236,0,0,0,1533,branch_from
3236,0,0,0,0,branch_to
4638,0,0,0,1401,branch_from
4638,0,0,0,1533,branch_to
4639,0,0,0,1533,branch_from
4639,0,0,0,0,branch_to
5140,0,0,0,500,branch_from
5140,0,0,0,1402,branch_to
5272,0,0,0,1533,branch_from
5272,0,0,0,0,branch_to
5773,0,0,0,500,branch_from
5773,0,0,0,1402,branch_to
5905,0,0,0,1533,branch_from
5905,0,0,0,0,branch_to
6406,0,0,0,500,branch_from
6406,0,0,0,1402,branch_to
6538,0,0,0,1533,branch_from
6538,0,0,0,0,branch_to
7039,0,0,0,500,branch_from
7039,0,0,0,1402,branch_to
7171,0,0,0,1533,branch_from
7171,0,0,0,0,branch_to
8573,0,0,0,1401,branch_from
8573,0,0,0,1533,branch_to
8574,0,0,0,1533,branch_from
8574,0,0,0,0,branch_to
9976,0,0,0,1401,branch_from
9976,0,0,0,1533,branch_to
9977,0,0,0,1533,branch_from
9977,0,0,0,0,branch_to
11379,0,0,0,1401,branch_from
11379,0,0,0,1533,branch_to
11380,0,0,0,1533,branch_from
11380,0,0,0,0,branch_to
11881,0,0,0,500,branch_from
11881,0,0,0,1402,branch_to
12013,0,0,0,1533,branch_from
12013,0,0,0,0,branch_to
13415,0,0,0,1401,branch_from
13415,0,0,0,1533,branch_to
13416,0,0,0,1533,branch_from
13416,0,0,0,0,branch_to
14818,0,0,0,1401,branch_from
14818,0,0,0,1533,branch_to
14819,0,0,0,1533,branch_from
14819,0,0,0,0,branch_to
16221,0,0,0,1401,branch_from
16221,0,0,0,1533,branch_to
